time,cds
69496,398
69508,397
69519,397
69530,397
69542,397
69554,397
69565,396
69576,397
69587,397
69599,396
69611,397
69622,396
69634,396
69645,396
69656,397
69667,397
69680,397
69691,396
69702,397
69713,396
69725,397
69737,396
69748,397
69760,396
69771,396
69782,397
69793,397
69806,396
69817,396
69828,397
69839,397
69851,397
69862,396
69874,397
69885,397
69897,396
69908,397
69919,396
69931,397
69943,397
69954,396
69965,397
69977,396
69988,439
69999,462
70011,453
70023,415
70034,405
70045,400
70056,399
70068,399
70080,397
70091,397
70103,396
70114,397
70125,396
70137,397
70149,397
70160,396
70171,397
70182,397
70194,396
70206,397
70217,396
70228,396
70240,396
70251,396
70262,397
70275,397
70286,396
70297,396
70308,396
70320,396
70331,396
70343,396
70354,396
70366,396
70377,396
70388,396
70400,396
70412,396
70423,397
70434,396
70446,397
70457,396
70469,396
70480,397
70492,396
70503,396
70514,397
70525,445
70538,465
70549,442
70560,414
70572,404
70583,401
70594,399
70606,398
70618,398
70629,398
70640,397
70651,397
70663,398
70675,397
70686,397
70697,397
70709,397
70720,397
70731,396
70744,397
70755,398
70766,396
70777,397
70789,396
70800,396
70812,397
70823,397
70835,396
70846,396
70857,397
70870,397
70881,397
70892,397
70903,397
70915,396
70926,396
70938,396
70949,397
70961,397
70972,397
70983,397
70994,396
71007,397
71018,397
71029,397
71041,397
71052,397
71063,397
71075,397
71087,398
71098,446
71109,465
71120,442
71132,412
71144,403
71155,400
71166,399
71178,398
71189,397
71201,397
71213,397
71224,397
71235,396
71246,398
71258,397
71270,397
71281,397
71292,396
71304,396
71315,397
71326,396
71339,397
71350,397
71361,397
71372,397
71384,396
71395,397
71407,397
71418,397
71430,397
71441,397
71452,397
71463,396
71476,396
71487,396
71498,397
71510,396
71521,396
71532,396
71544,396
71556,397
71567,396
71578,397
71589,396
71602,397
71613,397
71624,405
71635,451
71647,468
71658,434
71670,410
71682,403
71693,400
71704,399
71715,398
71727,398
71739,398
71750,397
71761,398
71773,397
71784,397
71795,397
71808,397
71819,397
71830,397
71841,397
71853,397
71864,397
71876,397
71887,397
71899,397
71910,397
71921,397
71933,398
71945,397
71956,397
71967,397
71979,397
71990,397
72002,397
72013,397
72025,397
72036,397
72047,397
72058,397
72071,396
72082,397
72093,397
72104,397
72116,397
72127,398
72139,397
72151,397
72162,397
72173,397
72184,397
72196,406
72208,450
72219,468
72230,434
72242,410
72253,403
72264,400
72276,399
72288,398
72299,398
72310,397
72322,398
72334,397
72345,397
72356,397
72368,396
72379,397
72390,397
72402,396
72414,396
72425,397
72436,397
72448,397
72459,397
72471,397
72482,396
72494,397
72505,396
72516,396
72527,397
72540,397
72551,397
72562,397
72573,397
72585,397
72596,397
72608,397
72620,397
72631,396
72642,397
72653,397
72666,396
72677,397
72688,397
72699,397
72711,397
72722,397
72734,419
72745,455
72757,471
72768,428
72779,409
72791,402
72803,400
72814,400
72825,398
72837,398
72848,398
72859,398
72871,398
72883,397
72894,398
72905,397
72916,397
72928,397
72940,397
72951,397
72963,397
72974,397
72985,397
72996,397
73009,397
73020,397
73031,397
73042,397
73054,397
73066,397
73077,398
73089,397
73100,397
73111,398
73122,397
73135,397
73146,397
73157,397
73168,397
73180,397
73191,398
73203,399
73214,397
73226,397
73237,397
73248,397
73260,398
73272,398
73283,397
73294,397
73306,419
73317,454
73328,471
73340,428
73352,409
73363,402
73374,400
73385,399
73398,399
73409,398
73420,398
73432,398
73443,397
73454,397
73466,397
73478,397
73489,397
73500,397
73511,397
73523,397
73535,397
73546,397
73558,397
73569,397
73580,397
73591,398
73604,397
73615,398
73626,397
73637,398
73649,397
73660,397
73672,397
73683,397
73695,398
73706,397
73717,397
73729,397
73741,397
73752,397
73763,397
73775,397
73786,398
73798,397
73809,397
73821,397
73832,397
73843,429
73854,458
73867,473
73878,423
73889,408
73901,402
73912,401
73923,399
73935,399
73947,398
73958,398
73969,399
73980,397
73992,398
74004,399
74015,398
74027,398
74038,397
74049,397
74060,397
74073,398
74084,398
74095,397
74106,397
74118,397
74130,397
74141,398
74152,398
74164,397
74175,397
74186,398
74199,397
74210,398
74221,397
74232,398
74244,397
74255,397
74267,398
74278,399
74290,397
74301,398
74312,397
74323,398
74336,398
74347,398
74358,398
74370,397
74381,398
74392,397
74404,397
74416,429
74427,458
74438,473
74449,423
74461,407
74473,403
74484,400
74496,400
74507,399
74518,398
74530,398
74542,398
74553,398
74564,398
74575,397
74587,398
74599,397
74610,397
74621,397
74633,397
74644,397
74655,397
74668,398
74679,398
74690,397
74701,397
74713,397
74724,398
74736,398
74747,398
74759,397
74770,397
74781,398
74792,397
74805,398
74816,397
74827,397
74839,397
74850,397
74862,398
74873,398
74885,398
74896,397
74907,398
74918,397
74931,398
74942,398
74953,438
74964,463
74976,467
74987,419
74999,407
75011,402
75022,401
75033,399
75044,399
75056,398
75068,398
75079,398
75090,399
75102,399
75113,398
75124,398
75137,400
75148,398
75159,399
75170,397
75182,398
75193,398
75205,398
75216,398
75228,398
75239,398
75250,398
75262,398
75274,398
75285,398
75296,397
75308,398
75319,397
75331,398
75342,398
75354,399
75365,398
75376,397
75387,397
75400,398
75411,398
75422,398
75433,398
75445,398
75456,398
75468,397
75480,398
75491,398
75502,398
75513,398
75525,437
75537,462
75548,468
75559,419
75571,407
75582,402
75594,400
75606,400
75617,398
75628,398
75639,399
75651,398
75663,398
75674,398
75685,398
75697,398
75708,398
75719,398
75731,398
75743,399
75754,398
75765,397
75777,397
75788,398
75800,398
75811,398
75823,398
75834,397
75845,398
75856,398
75869,398
75880,398
75891,397
75902,398
75914,397
75925,397
75937,397
75949,397
75960,398
75971,398
75982,398
75995,398
76006,398
76017,397
76028,397
76040,398
76051,398
76063,445
76075,465
76086,452
76097,416
76108,405
76120,402
76132,400
76143,400
76154,399
76166,398
76177,399
76188,398
76200,398
76212,398
76223,398
76234,399
76246,397
76257,398
76269,398
76280,398
76292,398
76303,398
76314,398
76326,398
76338,398
76349,398
76360,399
76371,398
76383,398
76395,398
76406,398
76418,398
76429,398
76440,398
76451,398
76464,398
76475,398
76486,399
76497,399
76509,398
76520,399
76532,399
76544,401
76555,399
76566,400
76577,400
76589,400
76601,400
76612,400
76623,402
76635,448
76646,469
76657,457
76669,419
76681,409
76692,404
76703,403
76715,403
76727,401
76738,401
76749,400
76761,401
76772,401
76783,400
76795,400
76807,400
76818,402
76829,401
76840,400
76852,400
76864,401
76875,401
76887,401
76898,400
76909,400
76920,401
76933,400
76944,401
76955,401
76966,400
76978,401
76989,400
77001,401
77012,400
77024,400
77035,400
77046,400
77059,401
77070,400
77081,401
77092,400
77104,400
77115,401
77127,401
77138,401
77150,400
77161,408
77172,454
77184,473
77196,443
77207,417
77218,408
77230,404
77241,402
77252,401
77264,401
77276,402
77287,400
77298,401
77309,402
77321,400
77333,401
77344,400
77356,400
77367,400
77378,400
77389,400
77402,400
77413,400
77424,400
